mode,archetype,strategy,Environmental,Economic,Social,Technological,WSM,WSM_rank,TOPSIS,TOPSIS_rank
FULL_BRIDGES,RO-A6,SOCIAL,49.35214821449435,48.40315915460734,70.86587288193286,51.44416300355081,55.016335813646336,4,24.7659369235379,4
FULL_BRIDGES,RO-A6,INTEGRATED,62.900600932354266,53.68672786057422,69.67746701817762,59.811183919351485,61.5189949326144,1,89.45977265483887,1
FULL_BRIDGES,RO-A7,ENERGY,60.58240352153174,49.76171217285964,63.85469748176754,51.50964009272632,56.42711331722131,3,47.174365438117135,2
FULL_BRIDGES,RO-A7,MAINT,50.95810967055934,51.81320698720435,64.5396042011292,52.400436680236524,54.92783938478235,5,23.07774393421442,5
FULL_BRIDGES,RO-A7,CIRCULAR,54.13388991465679,47.68210167202032,63.85598592500753,51.526001276726326,54.299494697102745,6,22.743363659680455,6
FULL_BRIDGES,RO-A7,DIGITAL,50.01622177774125,50.28269162347284,63.92806748176753,61.735978397278906,56.49073982006513,2,41.833647763578064,3
FULL_BRIDGES,RO-A7,SOCIAL,49.36032880649435,48.52469401028361,70.88867503672087,51.517820684726324,55.07287963455629,4,24.668995194642406,4
FULL_BRIDGES,RO-A7,INTEGRATED,63.07746887346955,53.79969866140233,69.69985451993378,59.86589759377341,61.61072991214476,1,89.51647042218721,1
FULL_BRIDGES,RO-A8,ENERGY,59.476814343457505,49.73145676248915,63.84088980244588,51.3617988351753,56.10273993589196,3,44.344076515757074,2
FULL_BRIDGES,RO-A8,MAINT,50.94430492155932,51.770681983414605,64.5261372394808,52.26317505753857,54.87607480049832,5,22.96911445035839,6
FULL_BRIDGES,RO-A8,CIRCULAR,54.11491775837679,47.80420164622783,63.84226107417988,51.379211809575295,54.28514807208995,6,23.146541204833014,5
FULL_BRIDGES,RO-A8,DIGITAL,49.99917887774125,50.38295659074838,63.91495580244588,61.62719836421769,56.4810724087883,2,42.91481585323163,3
FULL_BRIDGES,RO-A8,SOCIAL,49.343967622494354,48.466021296812116,70.87490877164622,51.3705053223753,55.013850753332,4,24.965991382845434,4
FULL_BRIDGES,RO-A8,INTEGRATED,62.248291856144746,54.13775425237157,69.68691756092282,59.75647024492953,61.45735847859217,1,89.26921493622793,1
HALF_BRIDGE_EFFECT,RO-A1,ENERGY,60.21407761250382,48.72392692841108,63.82433760143465,51.21395757762428,55.99407492999346,2,58.86477678298492,2
HALF_BRIDGE_EFFECT,RO-A1,MAINT,50.90207640267044,51.47621011226938,64.16713167878873,51.66993550623244,54.553838424990246,4,27.349400096556554,4
